序号,题目内容,选项A,选项B,选项C,选项D,正确答案
146,根据《中华人民共和国网络安全法》，国家采取措施，监测、防御、处置来源于中华人民共和国境内外的网络安全风险和威胁，保护关键信息基础设施免受攻击。（ ）、干扰和破坏，依法惩治网络违法犯罪活动，维护网络空间安全和秩序。,检测,监督,扫描,侵入,D
147,根据《数据安全法》的规定，违反国家核心数据管理制度，危害国家主权、安全和发展利益的，由有关主管部门处（ ）罚款，并根据情况责令暂停相关业务、停业整顿、吊销相关业务许可证或者吊销营业执照；构成犯罪的，依法追究刑事责任。,50 万元以上 200 万元以下,100 万元以上 1000 万元以下,200 万元以上 1000 万元以下,10 万元以上 100 万元以下,C
148,在计算机安全中，保密是指,防止未经授权的数据暴露并确保数据源的可靠性,防止未经授权的数据修改,防止延迟服务,防止拒绝服务,A
149,行为人通过计算机操作所实施的危害计算机信息系统（包括内存数据及程序）安全以及其他严重危害社会的并应当处以刑罚的行为是,故意伤害他人,计算机犯罪,破坏公共财物,破坏他人财产,B
150,《数据安全法》第三十三条 从事（ ）的机构提供服务，应当要求数据提供方说明数据来源，审核交易双方的身份，并留存审核、交易记录。,使用数据服务,数据交易中介服务,维护数据服务,提供数据服务,B
151,下面关于我们使用的网络是否安全的正确表述是。,安装了防火墙，网络是安全的,安装了防火墙和杀毒软件，网络是安全的,设置了复杂的密码，网络是安全的,没有绝对安全的网络，使用者要时刻提高警惕，谨慎操作,D
152,依据《数据安全法》规定的数据安全保护义务，重要数据的处理者不需要做的是,落实数据安全保护预算,明确管理机构,落实数据安全保护责任,明确数据安全负责人,A
153,要切实保障国家数据安全。要加强关键信息基础设施安全保护，强化国家关键数据资源保护能力，增强数据安全预警和溯源能力。要加强( )的统筹协调，加快法规制度建设。要制定数据资源确权、开放、流通、交易相关制度，完善数据产权保护制度。要加大对技术专利、数字版权、数字内容产品及个人隐私等的保护力度，维护广大人民群众利益、社会稳定、国家安全。要加强国际数据治理政策储备和治理规则研究，提出中国方案。,政策、监管、法律,政策、监控、法规,政策、监控、监管,政策、监管、法规,A
154,保密工作是我们的一项重要工作，保密工作的好坏直接关系到国家和企业的利益，所以我们应提高保密意识，认真做好保密工作，保证国家和企业的利益不受损害。以下做法不符合保密要求的是,对存储涉密信息的媒介质应当根据有关规定确定密级及保密期限，并视同纸制文件，分密级管理，严格借阅、使用、保管及销毁制度,对需要送出单位维修的设备、拆除或者改为他用的设备及需要报废的设备，必须对其设备有敏感（内部以上）信息的存储部件进行物理销毁或安全地覆盖，并进行维修、报废登记,为了工作方便，通过互联网直接传输公司涉密文件,不在私人交往和任何通信中泄露公司秘密，不在公共场所谈论公司秘密,C
155,《数据安全法》规定，重要数据的（ ）应当明确数据安全负责人和管理机构，落实数据安全保护责任。,读取者,有关部门,处理者,维护者,C
156,下面哪一项最好地描述了风险分析的目的？,识别资产以及保护资产所使用的技术控制措施,识别同责任义务有直接关系的威胁,识别用于保护资产的责任义务和规章制度,识别资产、脆弱性并计算潜在的风险,D
157,网络运营者不得（ ）其收集的个人信息。,泄露、篡改、出售,泄露、删除、出售,泄露、删除、毁损,泄露、篡改、毁损,D
158,国家（）负责统筹协调网络安全工作和相关监督管理工作。国务院（）、（）和其他有关机关依照本法和有关法律、行政法规的规定，在各自职责范围内负责网络安全保护和监督管理工作。下列选项依次填入上述空缺部分全部正确的是,各级人民政府；网信部门；电信主管部门,网信部门；电信主管部门；公安部门,公安部门；电信主管部门；网信部门,电信主管部门；网信部门；公安部门,B
159,因维护国家安全和社会公共秩序，处置重大突发社会安全事件的需要，经（ ）决定或者批准，可以在特定区域对网络通信采取限制等临时措施。,全国人大,国家保密局,中央网信办,国务院,D
160,以下不属于数据安全管理制度机制的是,数据安全审查制度,数据分类分级保护制度,数据安全应急处置机制,数据加密存储保护机制,D
161,下列数据中不属于国家核心数据的是,关系公共利益的数据,关系国民经济命脉的数据,关系国家安全的数据,关系重要民生的数据,A
162,关键信息基础设施的运营者采购网络产品和服务，可能影响（ ），应当通过国家网信部门会同国务院有关部门组织的国家安全审查,国家安全,政府安全,信息安全,网络安全,A
163,《关键信息基础设施安全保护条例》(中华人民共和国国务院令第745号)规定，运营者应当自行或者委托网络安全服务机构对关键信息基础设施（ ）至少进行一次网络安全检测和风险评估。,每半年,每季度,每年,每两年,C
164,《数据安全法》规定，关系国家安全、国民经济命脉、重要民生、重大公共利益等数据属于,国家保密数据,国家重要数据,普通数据,国家核心数据,D
165,《中华人民共和国网络安全法》的立法目的是为了保障( )，维护网络空间主权和国家安全、( )，保护公民、法人和其他组织的合法权益，促进( )健康发展。,网络安全 经济社会信息化 社会公共利益,经济社会信息化 网络安全 社会公共利益,经济社会信息化 社会公共利益 网络安全,网络安全 社会公共利益 经济社会信息化,D
166,《网络安全法》第二十八条（ ）应当为公安机关、国家安全机关依法维护国家安全和侦查犯罪的活动提供技术支持和协助。,网络运营者,行政政府,所有公民,网络使用者,A
167,《关键信息基础设施安全保护条例》规定，（ ）统筹协调国务院公安部门、保护工作部门对关键信息基础设施进行网络安全检查检测，提出改进措施。,国家法律部门,国家工信部门,国家网信部门,国家政务部门,C
168,《网络安全法》规定，国家支持研究开发有利于未成年人健康成长的网络产品和服务，依法惩治利用网络从事（ ）的活动，为未成年人提供安全、健康的网络环境,诱导未成年人上网,危害未成年人身心健康,灌输未成年人网络思想,侵害未成年人上网权,B
169,《关键信息基础设施安全保护条例》规定，电子政务关键信息基础设施的运营者不履行本条例规定的网络安全保护义务的，依照（ ）有关规定予以处理。,《中华人民共和国网络安全法》,地方相关法规,《中华人民共和国数据安全法》,《中华人民共和国电子商务法》,A
170,违反国家核心数据管理制度，危害国家主权、安全和发展利益的，最高处多少元罚款,五百万,一千万,二百万,八百万,B
171,“在享受互联网带来的红利、带来的便捷的同时，我们也应当履行相应的义务”是《网络安全法》规定的（ ）原则,共同治理,网络主权,责权利相一致,网络安全与发展,C
172,操作系统的安全审计是指对系统中有关安全的活动进行记录、检查和审核的过程，现有的审计系统包括（ ）三大功能模块,审计事件收集及过滤、审计事件记录及查询、审计事件分析及响应报警,审计数据挖掘、审计事件记录及查询、审计事件分析及响应报警,系统日志采集与挖掘、安全事件记录及查询、安全响应报警,审计事件特征提取、审计事件特征匹配、安全响应报警,A
